Image,Kernel,Mode,Pow2,Naive(ms),FFT(ms),Faster,AbsDiffSum
256x256,3x3,valid,1,0.507000,32.584333,Naive,0.000000
256x256,7x7,valid,1,1.152125,19.209583,Naive,0.000000
256x256,21x21,valid,1,7.120292,15.357709,Naive,0.000000
256x256,51x51,valid,1,21.236458,12.841833,FFT,0.000000
256x256,101x101,valid,1,40.570542,13.151708,FFT,0.000000
512x512,5x5,valid,1,1.278166,62.941792,Naive,0.000000
512x512,11x11,valid,1,6.315458,62.180250,Naive,0.000000
512x512,31x31,valid,1,58.945042,60.584208,Naive,0.000001
512x512,101x101,valid,1,276.826875,60.490583,FFT,0.000008
512x512,151x151,valid,1,479.355125,60.559459,FFT,0.000013
1024x1024,11x11,valid,1,26.497458,281.479459,Naive,0.000000
1024x1024,31x31,valid,1,249.796375,279.818500,Naive,0.000001
1024x1024,101x101,valid,1,1472.956000,278.888875,FFT,0.000009
1024x1024,201x201,valid,1,4728.664333,281.857375,FFT,0.000027
1024x1024,301x301,valid,1,8184.018125,283.265208,FFT,0.000047
2048x2048,21x21,valid,1,451.080750,1289.682917,Naive,0.000028
2048x2048,51x51,valid,1,1997.271708,1244.867500,FFT,0.000155
2048x2048,151x151,valid,1,16094.911792,1277.271625,FFT,0.001225
2048x2048,301x301,valid,1,49297.734792,1265.834959,FFT,0.004010
2048x2048,501x501,valid,1,102012.622458,1383.246791,FFT,0.008339
