image_size,kernel_size,coverage,naive_ops,fft_ops,cpu_naive_ms,cpu_fft_ms,gpu_naive_ms,gpu_fft_ms,cpu_winner,gpu_winner
28,3,0.107143,7056,30720,0.0265132,0.0287979,0.0220317,0.0584291,cpu_naive,gpu_naive
28,5,0.178571,19600,30720,0.0434602,0.0220028,0.0228693,0.0458696,cpu_fft,gpu_naive
28,7,0.25,38416,147456,0.0681712,0.0844793,0.0249802,0.0615989,cpu_naive,gpu_naive
28,9,0.321429,63504,147456,0.112374,0.0896916,0.0255985,0.0598026,cpu_fft,gpu_naive
28,11,0.392857,94864,147456,0.168274,0.0890145,0.0274887,0.06315,cpu_fft,gpu_naive
56,3,0.0535714,28224,147456,0.054288,0.0858669,0.0251687,0.0589897,cpu_naive,gpu_naive
56,5,0.0892857,78400,147456,0.151411,0.0940646,0.0259653,0.0566242,cpu_fft,gpu_naive
56,7,0.125,153664,147456,0.3278,0.101078,0.0375386,0.0565479,cpu_fft,gpu_naive
56,9,0.160714,254016,147456,0.504309,0.0897638,0.0294224,0.0586361,cpu_fft,gpu_naive
56,11,0.196429,379456,688128,0.720386,0.736533,0.0393939,0.130973,cpu_naive,gpu_naive
56,15,0.267857,705600,688128,1.31045,0.744016,0.0380906,0.121923,cpu_fft,gpu_naive
56,21,0.375,1382976,688128,2.49417,0.755725,0.0497772,0.123145,cpu_fft,gpu_naive
96,3,0.03125,82944,688128,0.155671,0.728078,0.0342316,0.127794,cpu_naive,gpu_naive
96,5,0.0520833,230400,688128,0.503092,0.767376,0.0358676,0.127596,cpu_naive,gpu_naive
96,7,0.0729167,451584,688128,0.85187,0.749357,0.0402508,0.126615,cpu_fft,gpu_naive
96,9,0.09375,746496,688128,1.44003,0.739236,0.0448129,0.128073,cpu_fft,gpu_naive
96,11,0.114583,1115136,688128,2.1741,0.759528,0.0563898,0.127573,cpu_fft,gpu_naive
96,15,0.15625,2073600,688128,3.99387,0.74352,0.062568,0.126079,cpu_fft,gpu_naive
96,21,0.21875,4064256,688128,7.62185,0.7181,0.0911336,0.127149,cpu_fft,gpu_naive
96,31,0.322917,8856576,688128,16.0897,0.760891,0.157828,0.136669,cpu_fft,gpu_fft
112,3,0.0267857,112896,688128,0.216771,0.735845,0.0382063,0.129491,cpu_naive,gpu_naive
112,5,0.0446429,313600,688128,0.55997,0.74888,0.0409172,0.129511,cpu_naive,gpu_naive
112,7,0.0625,614656,688128,1.27408,0.80524,0.0441328,0.127668,cpu_fft,gpu_naive
112,9,0.0803571,1016064,688128,1.93741,0.721409,0.0510142,0.132588,cpu_fft,gpu_naive
112,11,0.0982143,1517824,688128,2.96869,0.731707,0.0606168,0.135011,cpu_fft,gpu_naive
112,15,0.133929,2822400,688128,5.41884,0.761588,0.0830879,0.128099,cpu_fft,gpu_naive
112,21,0.1875,5531904,3145728,10.3924,3.17094,0.118951,0.371617,cpu_fft,gpu_naive
112,31,0.276786,12054784,3145728,21.9722,3.12003,0.214305,0.375886,cpu_fft,gpu_naive
112,51,0.455357,32626944,3145728,54.19,3.14081,0.451467,0.386265,cpu_fft,gpu_fft
224,3,0.0133929,451584,3145728,0.892889,3.24269,0.0951638,0.395717,cpu_naive,gpu_naive
224,5,0.0223214,1254400,3145728,2.21889,3.23659,0.107173,0.397648,cpu_naive,gpu_naive
224,7,0.03125,2458624,3145728,4.65542,3.18451,0.125208,0.397565,cpu_fft,gpu_naive
224,9,0.0401786,4064256,3145728,7.82399,3.11325,0.14356,0.399707,cpu_fft,gpu_naive
224,11,0.0491071,6071296,3145728,11.8872,3.13732,0.173279,0.389908,cpu_fft,gpu_naive
224,15,0.0669643,11289600,3145728,22.0103,3.08663,0.249622,0.390577,cpu_fft,gpu_naive
224,21,0.09375,22127616,3145728,42.1985,3.14225,0.407797,0.400915,cpu_fft,gpu_fft
224,31,0.138393,48219136,3145728,91.4912,3.25725,0.746046,0.406575,cpu_fft,gpu_fft
224,51,0.227679,130507776,14155776,236.868,14.2444,2.06804,2.77594,cpu_fft,gpu_naive
224,71,0.316964,252937216,14155776,448.011,14.4108,3.70793,2.53249,cpu_fft,gpu_fft
224,101,0.450893,511845376,14155776,863.235,14.3207,7.10866,2.54741,cpu_fft,gpu_fft
256,3,0.0117188,589824,14155776,1.06816,14.5764,0.120814,2.5673,cpu_naive,gpu_naive
256,5,0.0195312,1638400,14155776,2.89308,14.3988,0.137928,2.62744,cpu_naive,gpu_naive
256,7,0.0273438,3211264,14155776,6.09212,14.2483,0.160047,2.55605,cpu_naive,gpu_naive
256,9,0.0351562,5308416,14155776,10.1432,14.3698,0.199798,2.53287,cpu_naive,gpu_naive
256,11,0.0429688,7929856,14155776,15.4758,14.3271,0.240076,2.52892,cpu_fft,gpu_naive
256,15,0.0585938,14745600,14155776,28.6315,14.0479,0.351654,2.53215,cpu_fft,gpu_naive
256,21,0.0820312,28901376,14155776,55.3156,14.2088,0.582531,2.60955,cpu_fft,gpu_naive
256,31,0.121094,62980096,14155776,119.023,14.3344,1.1186,2.52187,cpu_fft,gpu_naive
256,51,0.199219,170459136,14155776,314.638,15.0759,2.78001,2.5077,cpu_fft,gpu_fft
256,71,0.277344,330366976,14155776,591.012,14.159,5.01567,2.60307,cpu_fft,gpu_fft
256,101,0.394531,668532736,14155776,1149.36,14.2711,9.48685,2.57452,cpu_fft,gpu_fft
512,3,0.00585938,2359296,62914560,4.5084,76.5111,0.486037,7.07806,cpu_naive,gpu_naive
512,5,0.00976562,6553600,62914560,11.6015,75.2618,0.554009,7.01026,cpu_naive,gpu_naive
512,7,0.0136719,12845056,62914560,23.9982,82.0884,0.679843,7.00156,cpu_naive,gpu_naive
512,9,0.0175781,21233664,62914560,40.6455,88.6741,0.775174,6.99492,cpu_naive,gpu_naive
512,11,0.0214844,31719424,62914560,62.2724,84.1936,0.941206,6.96492,cpu_naive,gpu_naive
512,15,0.0292969,58982400,62914560,116.045,90.2681,1.3877,7.05664,cpu_fft,gpu_naive
512,21,0.0410156,115605504,62914560,225.517,81.0029,2.25685,6.94604,cpu_fft,gpu_naive
512,31,0.0605469,251920384,62914560,490.175,86.4959,4.34967,7.05963,cpu_fft,gpu_naive
