image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,86.8614,169.181,122.492,86.4876,0.072075,0.189149,4.46831,465.022,469.768
image_085_label_1.bin,67.5647,166.034,119.649,85.2043,0.051444,0.121018,4.47102,438.452,443.1
image_095_label_1.bin,65.5504,167.521,119.931,86.7747,0.05393,0.084868,4.54811,439.777,444.468
image_045_label_9.bin,68.5528,166.854,119.535,84.5122,0.052294,0.083788,4.47005,439.454,444.064
image_081_label_0.bin,67.5278,167.509,120.814,84.6285,0.052159,0.082568,4.49675,440.479,445.115
image_069_label_4.bin,65.7787,166.818,120.487,85.2232,0.051952,0.084445,4.49562,438.307,442.942
image_004_label_3.bin,67.2973,167.148,121.538,86.587,0.053796,0.0833,4.51024,442.571,447.222
image_037_label_7.bin,65.3098,180.592,126.694,88.4943,0.079277,0.091693,4.53788,461.09,465.806
image_075_label_7.bin,69.4636,171.085,124.125,87.756,0.133916,0.121315,4.53934,452.43,457.234
image_018_label_0.bin,69.5243,172.844,121.94,84.7213,0.091445,0.11278,4.46928,449.03,453.711
image_089_label_5.bin,67.8288,173.014,119.533,84.8412,0.05572,0.086714,4.46831,445.218,449.833
image_061_label_1.bin,68.762,167.522,123.283,88.14,0.058999,0.084136,4.55375,447.707,452.409
image_092_label_3.bin,68.4379,166.561,120.378,85.2271,0.051901,0.086058,4.5084,440.604,445.254
image_071_label_1.bin,67.6496,168.605,121.297,86.1252,0.053543,0.086232,4.52314,443.677,448.343
image_017_label_9.bin,68.6338,168.373,120.246,85.0698,0.052521,0.0865,4.49953,442.322,446.964
image_020_label_5.bin,67.2245,166.716,120.13,86.3548,0.052203,0.086053,4.53027,440.425,445.097
image_099_label_5.bin,68.7447,168.182,120.073,84.8934,0.052327,0.08673,4.47196,441.893,446.508
image_009_label_4.bin,67.7655,166.461,120.555,84.9978,0.051208,0.085439,4.55192,439.78,444.472
image_043_label_6.bin,69.6102,168.04,120.467,85.172,0.052489,0.082887,4.48637,443.289,447.915
image_070_label_2.bin,69.1957,166.139,120.164,86.6164,0.055677,0.083081,4.468,442.115,446.725
image_057_label_7.bin,68.9504,167.422,122.463,84.8066,0.052608,0.082626,4.46652,443.643,448.249
image_031_label_6.bin,67.8,166.736,120.062,84.7669,0.051011,0.081944,4.46871,439.365,443.97
image_098_label_8.bin,68.4059,166.905,121.111,87.4581,0.054112,0.082258,4.56084,443.88,448.581
image_016_label_4.bin,70.2304,167.634,120.408,84.5562,0.052195,0.082373,4.46743,442.829,447.434
image_002_label_5.bin,68.2621,166.697,120.25,85.9907,0.050821,0.081576,4.52585,441.2,445.862
image_073_label_1.bin,69.4298,168.886,120.711,84.7878,0.064076,0.090614,4.46804,443.814,448.441
image_080_label_3.bin,68.0963,166.882,120.538,85.0654,0.050683,0.081816,4.49739,440.582,445.215
image_068_label_0.bin,69.0329,168.751,120.577,84.62,0.050857,0.081806,4.6923,442.981,447.822
image_036_label_4.bin,67.8035,166.406,120.938,87.7207,0.051425,0.081824,4.49449,442.868,447.5
image_094_label_5.bin,70.9373,173.563,123.681,84.991,0.057982,0.083509,4.46861,453.173,457.787
image_090_label_4.bin,68.3606,166.829,120.167,85.224,0.050292,0.081753,4.6675,440.58,445.384
image_050_label_5.bin,67.7121,166.479,121.361,85.0458,0.050673,0.082159,4.49489,440.598,445.229
image_044_label_4.bin,68.4129,167.092,120.237,84.963,0.051543,0.081793,4.46527,440.705,445.307
image_013_label_0.bin,68.2533,167.908,121.468,85.458,0.051209,0.082087,4.82163,443.088,448.046
image_065_label_6.bin,71.0098,171.121,120.438,84.8854,0.057852,0.085202,4.46678,447.454,452.068
image_007_label_1.bin,67.8129,166.97,120.364,84.7344,0.051019,0.082059,4.55484,439.882,444.573
image_024_label_2.bin,69.6186,170.906,121.804,85.0682,0.05474,0.083384,4.46911,447.397,452.009
image_049_label_2.bin,67.819,166.339,120.176,84.6283,0.050176,0.082048,4.46911,438.962,443.567
image_003_label_0.bin,68.6852,168.447,121.83,85.7745,0.050542,0.082309,4.4958,444.737,449.369
