image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,77.7109,169.75,76.2964,77.4394,0.056431,0.187794,4.5073,401.196,405.954
image_085_label_1.bin,69.3209,170.443,78.0526,76.8383,0.054782,0.120722,4.47191,394.654,399.306
image_095_label_1.bin,67.756,167.65,76.4437,76.1987,0.053551,0.085842,4.47397,388.048,392.666
image_045_label_9.bin,67.4439,166.327,76.4781,76.6191,0.05486,0.085514,4.49956,386.868,391.512
image_081_label_0.bin,69.0333,165.927,76.4523,77.5316,0.053316,0.084948,4.54263,388.944,393.629
image_069_label_4.bin,69.6764,167.162,78.6288,77.9419,0.052464,0.086086,4.51233,393.41,398.065
image_004_label_3.bin,69.5942,166.255,76.7367,76.3301,0.05411,0.08455,4.47219,388.916,393.531
image_037_label_7.bin,68.9561,167.514,77.5727,76.899,0.055978,0.085382,4.47004,390.942,395.558
image_075_label_7.bin,74.9538,179.251,79.4266,79.4203,0.111857,0.115975,4.54073,413.051,417.829
image_018_label_0.bin,70.565,171.801,79.1018,79.029,0.11334,0.118014,4.74682,400.496,405.484
image_089_label_5.bin,73.3303,173.446,76.3088,76.374,0.104121,0.118341,4.49971,399.459,404.186
image_061_label_1.bin,68.6602,169.277,77.8259,76.5556,0.062724,0.086794,4.47215,392.319,396.945
image_092_label_3.bin,67.6374,166.131,78.2919,77.3133,0.053519,0.085303,4.51096,389.373,394.027
image_071_label_1.bin,66.6932,167.349,76.5197,76.5171,0.053123,0.116642,4.58887,387.079,391.842
image_017_label_9.bin,66.0064,166.388,76.3053,76.7536,0.052237,0.083603,4.50403,385.454,390.097
image_020_label_5.bin,66.0494,167.553,76.7333,76.1967,0.082166,0.088542,4.47074,386.533,391.178
image_099_label_5.bin,66.2982,166.802,76.7032,76.2399,0.056506,0.088237,4.47083,386.043,390.662
image_009_label_4.bin,66.1053,166.621,77.5804,76.2687,0.053249,0.087351,4.4711,386.576,391.191
image_043_label_6.bin,66.1037,172.164,78.0077,76.2367,0.05851,0.088757,4.47311,392.512,397.137
image_070_label_2.bin,65.8295,167.235,76.2205,76.7235,0.051814,0.086652,4.50411,386.008,390.655
image_057_label_7.bin,65.7785,167.222,76.2173,78.0512,0.051942,0.085276,4.57754,387.269,391.988
image_031_label_6.bin,69.3104,166.522,76.73,76.3762,0.054361,0.085753,4.49996,388.938,393.582
image_098_label_8.bin,68.1614,166.008,76.239,77.3582,0.053852,0.087466,4.53839,387.767,392.45
image_016_label_4.bin,68.7753,166.471,77.093,76.3096,0.053702,0.085206,4.49673,388.648,393.301
image_002_label_5.bin,68.0107,165.728,76.3358,76.4193,0.053074,0.084228,4.63896,386.494,391.274
image_073_label_1.bin,67.9556,166.703,76.4385,76.1484,0.053253,0.08429,4.46898,387.245,391.855
image_080_label_3.bin,68.2238,166.344,76.5601,76.2749,0.053795,0.084499,4.49723,387.402,392.055
image_068_label_0.bin,67.6984,165.864,76.4283,77.3264,0.053985,0.084344,4.52761,387.317,391.986
image_036_label_4.bin,67.6768,166.167,76.2978,76.5498,0.053313,0.084748,4.49696,386.691,391.343
image_094_label_5.bin,68.0315,167.215,76.2126,76.1312,0.054452,0.08465,4.46697,387.59,392.2
