image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,264.01,1409.28,463.753,446.259,6.22675,4.4593,26.9935,2583.3,2621
image_085_label_1.bin,252.503,1366.08,462.822,452.865,5.71628,4.22619,26.9654,2534.27,2571.19
image_095_label_1.bin,254.704,1365.14,465.089,444.91,5.98546,4.15216,26.7011,2529.84,2566.69
image_045_label_9.bin,254.603,1364.57,462.757,453.225,5.94194,4.1686,26.6748,2535.16,2571.96
image_081_label_0.bin,252.459,1366.07,466.303,444.225,5.87202,4.1134,26.8148,2529.05,2565.87
image_069_label_4.bin,254.423,1365.01,467.208,450.862,7.33209,4.35822,26.617,2537.5,2575.82
image_004_label_3.bin,253.425,1368.89,466.219,444.604,6.23667,4.25401,26.6759,2533.13,2570.32
image_037_label_7.bin,255.374,1363.95,470.3,449.945,5.99018,4.2847,26.648,2539.57,2576.51
image_075_label_7.bin,254.382,1371.17,465.874,445.998,6.68553,4.3839,26.9738,2537.43,2575.48
image_018_label_0.bin,255.397,1372.85,472.695,446.312,5.52556,4.35679,26.9024,2547.26,2584.06
image_089_label_5.bin,255.964,1368.03,464.67,448.841,6.13938,4.39592,26.8857,2537.5,2574.94
image_061_label_1.bin,252.372,1369.94,468.796,447.396,5.95677,4.20699,27.0418,2538.5,2575.72
image_092_label_3.bin,257.728,1365.68,463.946,447.927,6.05166,4.15599,26.7183,2535.28,2572.22
image_071_label_1.bin,252.829,1372.54,467.477,449.215,6.17463,4.27186,26.7588,2542.06,2579.28
image_017_label_9.bin,255.851,1365.35,464.715,446.763,6.20765,4.16294,26.6986,2532.68,2569.76
image_020_label_5.bin,254.854,1373.63,466.352,455.078,6.20772,4.33369,27.2224,2549.92,2587.7
image_099_label_5.bin,254.235,1365.28,467.044,444.639,6.24139,4.27525,26.6631,2531.2,2568.4
image_009_label_4.bin,253.138,1376.43,465.612,451.669,5.76641,4.39072,26.7433,2546.85,2583.77
image_043_label_6.bin,253.569,1366.15,467.906,444.826,6.35234,4.27524,26.6357,2532.46,2569.73
image_070_label_2.bin,255.088,1373.85,469.204,450.705,6.27855,4.32584,27.031,2548.85,2586.5
image_057_label_7.bin,254.421,1366.36,465.556,447.704,6.09901,4.2578,26.6158,2534.04,2571.03
image_031_label_6.bin,255.106,1372.56,468.278,446.006,6.21041,4.24292,26.6522,2541.95,2579.07
image_098_label_8.bin,252.735,1371.65,466.573,447.455,5.49301,4.17692,27.1353,2538.41,2575.23
image_016_label_4.bin,252.847,1371.63,468.396,445.669,6.28656,4.3076,26.5875,2538.55,2575.74
image_002_label_5.bin,252.517,1366.17,463.271,448.106,5.57751,4.04473,26.7911,2530.07,2566.49
image_073_label_1.bin,252.594,1373.2,466.188,444.528,6.36332,4.38752,26.6151,2536.51,2573.89
image_080_label_3.bin,254.822,1363.05,465.453,448.649,6.12923,4.29566,26.7025,2531.97,2569.11
image_068_label_0.bin,252.762,1374.55,465.28,443.908,6.2568,4.3762,27.5182,2536.5,2574.67
