image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_032_label_3.bin,402.682,181.412,387.958,1121.5,0.072211,0.087556,4.56431,2093.55,2098.28
image_069_label_4.bin,10.761,99.7638,286.838,1057.84,0.066597,0.087932,4.51136,1455.2,1459.87
image_099_label_5.bin,10.7873,101.21,286.232,1038.39,0.068069,0.086516,4.51726,1436.62,1441.3
image_019_label_6.bin,10.7611,99.1441,283.714,1043.18,0.095888,0.109829,4.54231,1436.8,1441.55
image_061_label_1.bin,10.7469,99.052,283,1041.83,0.068248,0.0873,4.5572,1434.63,1439.35
image_047_label_1.bin,10.7223,98.0281,284.196,1048.61,0.07097,0.090464,4.54293,1441.56,1446.27
image_059_label_0.bin,10.7694,104.96,288.678,1049.58,0.06337,0.101179,4.50885,1453.99,1458.66
image_017_label_9.bin,10.7638,101.409,286.165,1041.24,0.071981,0.089913,4.54415,1439.58,1444.29
image_034_label_9.bin,10.7443,101.325,282.754,1043.77,0.06849,0.090058,4.51111,1438.59,1443.27
image_011_label_0.bin,10.7192,101.197,284.708,1044.55,0.068616,0.089852,4.57028,1441.18,1445.91
image_060_label_0.bin,10.8131,101.299,284.226,1048.81,0.066052,0.088158,4.51168,1445.15,1449.82
image_051_label_4.bin,12.2481,100.172,285.313,1069.14,0.074226,0.093501,4.51128,1466.88,1471.56
image_046_label_1.bin,10.8131,105.927,287.702,1070.58,0.070244,0.090151,4.53805,1475.02,1479.72
image_015_label_5.bin,10.7765,102.778,286.99,1039.55,0.070949,0.091287,4.544,1440.09,1444.8
image_082_label_9.bin,10.7463,100.799,283.124,1034.15,0.076298,0.094249,4.62384,1428.81,1433.62
image_071_label_1.bin,10.855,99.1365,283.797,1037.13,0.063661,0.086483,4.6489,1430.92,1435.72
image_097_label_5.bin,12.4212,97.8445,281.844,1043.22,0.069451,0.089893,4.53842,1435.33,1440.03
image_045_label_9.bin,12.1631,99.1635,282.702,1051.2,0.067179,0.0879,4.539,1445.23,1449.93
image_062_label_1.bin,12.5055,100.485,291.26,1063.96,0.086893,0.090715,4.54005,1468.21,1472.94
image_049_label_2.bin,10.8411,101.851,291.249,1054.68,0.06678,0.088573,4.62183,1458.62,1463.4
image_009_label_4.bin,10.9406,99.0976,286.089,1044.33,0.069415,0.087131,4.55455,1440.45,1445.17
image_018_label_0.bin,10.8236,97.831,283.633,1039.7,0.066345,0.099668,4.56928,1431.99,1436.73
image_053_label_0.bin,12.1784,98.9032,286.429,1039.05,0.067033,0.086362,4.54473,1436.56,1441.26
image_087_label_0.bin,12.1102,99.1048,282.13,1035.7,0.104159,0.099172,4.51119,1429.04,1433.77
image_098_label_8.bin,10.7589,100.743,281.868,1046.7,0.064048,0.084813,4.57107,1440.07,1444.8
image_068_label_0.bin,10.8287,102.528,288.67,1057.33,0.071467,0.090803,4.51183,1459.36,1464.04
image_000_label_6.bin,12.8186,100.255,288.711,1060.67,0.066029,0.086643,4.65283,1462.46,1467.27
image_050_label_5.bin,10.9013,103.919,284.989,1067.16,0.069282,0.087785,4.54164,1466.96,1471.67
image_040_label_1.bin,10.7419,103.721,286.2,1059.67,0.061243,0.084496,4.54517,1460.34,1465.03
image_075_label_7.bin,12.254,100.416,280.979,1035.12,0.073322,0.088906,4.51266,1428.77,1433.45
image_044_label_4.bin,10.7406,101.655,280.418,1034.11,0.0647,0.086368,4.53962,1426.92,1431.62
image_064_label_9.bin,10.8571,98.6208,283.891,1043.1,0.068332,0.085599,4.54767,1436.47,1441.18
image_003_label_0.bin,12.1953,97.7507,284.103,1041.88,0.064338,0.089517,4.53819,1435.93,1440.63
image_042_label_0.bin,12.2115,99.8583,286.849,1042.67,0.067961,0.086589,4.53791,1441.59,1446.29
image_095_label_1.bin,12.2189,100.042,284.506,1043.93,0.067705,0.085988,4.51111,1440.7,1445.37
image_037_label_7.bin,12.1523,100.248,283.386,1042.71,0.065424,0.085823,4.59213,1438.5,1443.25
image_001_label_7.bin,12.4133,99.1986,289.006,1059.12,0.069971,0.088192,4.5409,1459.74,1464.44
image_077_label_3.bin,11.0747,103.453,287.397,1062.48,0.08431,0.129178,4.58821,1464.4,1469.21
image_080_label_3.bin,10.8408,103.335,294.482,1062.75,0.07295,0.088835,4.54851,1471.4,1476.12
