image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,384.313,166.797,382.65,1065.32,0.755122,0.554779,4.47034,1999.07,2004.87
image_085_label_1.bin,10.6395,92.3302,271.702,1012.5,0.71964,0.543357,4.55571,1387.18,1393
image_095_label_1.bin,10.568,93.4554,272.4,997.774,0.758384,0.532964,4.52656,1374.2,1380.02
image_045_label_9.bin,10.6093,93.0675,274.296,1003.6,0.760974,0.537085,4.55066,1381.57,1387.43
image_081_label_0.bin,10.7573,92.5836,273.315,1001.31,0.734451,0.544085,4.51045,1377.96,1383.76
image_069_label_4.bin,10.5602,92.8895,273.019,1000.58,0.725366,0.536216,4.46974,1377.05,1382.78
image_004_label_3.bin,10.6352,92.612,272.4,1003.11,0.72523,0.540062,4.49661,1378.75,1384.52
image_037_label_7.bin,10.5292,92.4867,273.587,1005.52,0.719769,0.53538,4.75394,1382.12,1388.15
image_075_label_7.bin,10.6612,92.5917,271.555,1001.33,0.705978,0.530604,4.5218,1376.14,1381.9
image_018_label_0.bin,10.6267,92.5105,272.013,1007.6,0.715187,0.532953,4.57438,1382.75,1388.58
image_089_label_5.bin,10.5496,91.7076,274.058,1007.64,0.739072,0.540548,4.80001,1383.96,1390.04
image_061_label_1.bin,10.9831,93.3384,272.299,1002.66,0.731642,0.538686,4.52329,1379.28,1385.08
image_092_label_3.bin,10.5491,93.0735,273.376,1001.43,0.744272,0.558332,4.49816,1378.43,1384.23
image_071_label_1.bin,10.6653,92.5661,271.608,1008.8,0.776389,0.53325,4.52313,1383.64,1389.48
image_017_label_9.bin,10.6117,93.8534,271.569,1005.88,0.752275,0.54131,4.49571,1381.91,1387.71
image_020_label_5.bin,10.7005,93.4583,273.61,1008.99,0.734873,0.536114,4.47084,1386.76,1392.51
image_099_label_5.bin,10.5161,93.1886,273.78,1002.37,0.74537,0.533834,4.61076,1379.86,1385.75
image_009_label_4.bin,10.6491,93.0445,272.458,1011.73,0.727833,0.538331,4.51089,1387.88,1393.66
image_043_label_6.bin,10.5611,92.3768,272.857,1009.09,0.735877,0.542382,4.55011,1384.89,1390.72
image_070_label_2.bin,10.8235,94.4152,277.969,1005.65,0.746244,0.537523,4.49418,1388.86,1394.64
image_057_label_7.bin,10.8565,93.5231,272.557,1004.99,0.715515,0.531881,4.46682,1381.93,1387.65
image_031_label_6.bin,10.7529,93.9051,273.855,1005.87,0.744519,0.540798,4.46784,1384.38,1390.14
image_098_label_8.bin,10.6849,92.8118,271.497,998.989,0.715602,0.541005,4.51151,1373.98,1379.76
image_016_label_4.bin,10.5587,92.775,271.749,1004.02,0.713453,0.531786,4.58211,1379.1,1384.93
image_002_label_5.bin,10.5987,92.3573,271.839,1004.9,0.715608,0.539947,4.47087,1379.69,1385.42
image_073_label_1.bin,10.627,92.5795,273.997,1002.56,0.719209,0.534112,4.46601,1379.76,1385.49
image_080_label_3.bin,10.5975,92.4128,272.671,1001.9,0.70521,0.537986,4.55648,1377.58,1383.38
image_068_label_0.bin,10.7956,91.874,272.472,1004.49,0.707705,0.531341,4.52899,1379.63,1385.41
image_036_label_4.bin,10.566,92.9849,273.155,1004.51,0.825757,0.546748,4.52367,1381.21,1387.12
image_094_label_5.bin,10.6196,93.8157,274.054,1002.14,0.717106,0.537272,4.46684,1380.63,1386.36
image_090_label_4.bin,10.5855,91.8157,273.373,1004.39,0.705061,0.529631,4.51198,1380.17,1385.92
image_050_label_5.bin,10.5779,92.1844,272.34,1004.87,0.720961,0.535464,4.51628,1379.98,1385.76
image_044_label_4.bin,10.5914,92.2555,272.328,1003.49,0.726137,0.53749,4.49411,1378.66,1384.43
image_013_label_0.bin,10.6102,93.2078,272.873,1002.73,0.714927,0.536474,4.49905,1379.42,1385.18
image_065_label_6.bin,10.6975,93.063,272.578,1002.27,0.724317,0.531995,4.47422,1378.61,1384.36
image_007_label_1.bin,10.6524,92.5445,273.323,1007.82,0.724142,0.532593,4.51073,1384.34,1390.12
image_024_label_2.bin,10.4758,92.6367,272.385,1002.47,0.72578,0.53966,4.49608,1377.97,1383.74
image_049_label_2.bin,10.5799,92.7507,271.7,1006.61,0.712863,0.530076,4.46737,1381.64,1387.36
image_003_label_0.bin,10.5135,94.4737,272.532,1006.18,0.74313,0.530601,4.46622,1383.69,1389.44
image_041_label_9.bin,10.5397,94.0207,275.081,1008.08,0.726019,0.543231,4.46705,1387.72,1393.46
image_091_label_1.bin,10.5704,92.3779,273.592,1006.48,0.719573,0.535973,4.54179,1383.02,1388.82
image_055_label_8.bin,10.6313,92.9495,271.975,1008.23,0.726022,0.535166,4.52136,1383.79,1389.58
image_076_label_5.bin,10.7013,92.6821,273.568,1007.48,0.729743,0.556597,4.52637,1384.43,1390.25
image_033_label_7.bin,10.5499,92.2652,274.398,1008.14,0.730369,0.54687,4.49702,1385.36,1391.14
image_001_label_7.bin,10.6466,93.3218,271.461,1005.51,0.723082,0.532508,4.51093,1380.94,1386.71
image_032_label_3.bin,10.6607,93.3108,271.024,1005.85,0.738594,0.532897,4.47242,1380.84,1386.59
image_067_label_8.bin,10.6549,93.6688,272.653,1010.02,0.728333,0.541081,4.51481,1387,1392.79
image_026_label_5.bin,10.6494,94.0122,272.765,1008.58,0.771317,0.537675,4.4692,1386,1391.79
image_063_label_7.bin,10.6231,93.365,272.389,1006.26,0.715209,0.530315,4.46703,1382.63,1388.35
image_011_label_0.bin,10.7215,93.2046,272.734,1012.05,0.748474,0.53703,4.51794,1388.71,1394.54
image_039_label_5.bin,10.631,92.8434,271.305,1008.38,0.719024,0.535617,4.4745,1383.16,1388.9
image_005_label_1.bin,10.7244,93.1023,274.162,1006.09,0.714667,0.540946,4.50077,1384.08,1389.84
image_087_label_0.bin,10.5582,92.9118,273.111,1005.64,0.713148,0.53273,4.46904,1382.22,1387.94
image_074_label_2.bin,10.6077,92.5961,274.219,1011.75,0.725568,0.536565,4.51096,1389.17,1394.95
image_093_label_6.bin,10.5677,92.5053,274.398,1006.54,0.725633,0.536487,4.47286,1384.01,1389.75
image_047_label_1.bin,10.6103,93.4271,271.538,1006.22,0.707717,0.531364,4.55235,1381.79,1387.59
image_025_label_6.bin,10.5673,93.4206,272.583,1006.77,0.726585,0.53563,4.49531,1383.34,1389.11
image_053_label_0.bin,10.6323,95.9894,273.932,1007.66,0.772805,0.569559,4.55419,1388.21,1394.13
image_012_label_4.bin,10.6077,94.3859,271.332,1005.95,0.719091,0.532644,4.5118,1382.27,1388.04
image_078_label_5.bin,10.5237,93.132,271.671,1004.88,0.729246,0.546428,4.47155,1380.21,1385.96
image_084_label_0.bin,10.5127,92.4634,271.92,1008.99,0.719091,0.532967,4.46782,1383.88,1389.61
image_015_label_5.bin,10.5622,93.2326,273.433,1007.8,0.716285,0.534482,4.49527,1385.03,1390.78
image_060_label_0.bin,10.6659,94.7575,270.549,1005.53,0.708299,0.534201,4.47021,1381.5,1387.22
image_019_label_6.bin,10.5952,93.6284,271.239,1005.21,0.705205,0.538372,4.47008,1380.68,1386.39
image_035_label_2.bin,10.8786,93.7383,273.188,1006.54,0.923498,0.631345,5.15311,1384.34,1391.06
image_021_label_3.bin,10.6684,93.7165,271.37,1004.76,0.714995,0.537549,4.4963,1380.51,1386.27
image_058_label_2.bin,10.6888,95.0615,274.426,1005.3,0.743508,0.532047,4.49979,1385.48,1391.26
image_006_label_1.bin,10.6069,92.3293,270.891,1008.99,0.74702,0.54153,4.49687,1382.82,1388.61
image_056_label_6.bin,10.6702,93.6265,271.914,1006.27,0.720765,0.545577,4.46636,1382.48,1388.22
image_096_label_7.bin,10.6442,93.284,272.19,1005.77,0.710325,0.551602,4.47246,1381.88,1387.62
image_042_label_0.bin,10.725,92.2644,270.796,1005.63,0.704264,0.551151,4.49815,1379.42,1385.18
image_046_label_1.bin,10.6416,92.3103,273.422,1007.76,0.718568,0.539101,4.51001,1384.13,1389.91
image_052_label_0.bin,10.5595,92.8124,274.41,1006.21,0.741787,0.543993,4.46953,1383.99,1389.75
image_023_label_3.bin,10.7354,93.3337,271.819,1005.62,0.715652,0.533091,4.47057,1381.51,1387.23
image_066_label_1.bin,10.7432,93.0546,273.286,1003.34,0.708576,0.531675,4.47067,1380.42,1386.14
image_010_label_0.bin,10.6265,93.1047,274.444,1007,0.760495,0.57243,4.4675,1385.17,1390.98
image_072_label_7.bin,10.7099,92.6076,274.683,1007.55,0.713343,0.534386,4.52599,1385.55,1391.33
image_014_label_1.bin,10.6729,93.1085,273.473,1009.6,0.715712,0.532691,4.46743,1386.85,1392.57
image_027_label_5.bin,10.6493,92.2616,272.347,1011.02,0.715178,0.532228,4.49641,1386.27,1392.02
image_028_label_2.bin,10.8079,94.259,273.752,1008.47,0.748625,0.542568,4.52232,1387.29,1393.11
image_051_label_4.bin,10.6702,92.58,272.211,1009.21,0.721093,0.534993,4.50601,1384.67,1390.44
image_097_label_5.bin,10.6886,92.4737,271.317,1008.62,0.71116,0.531394,4.49716,1383.1,1388.85
image_083_label_3.bin,11.2402,92.8852,272.966,1012.35,0.749594,0.536377,4.54032,1389.44,1395.27
image_088_label_2.bin,10.6854,92.8057,273.439,1010.97,0.715594,0.537037,4.46671,1387.9,1393.62
image_064_label_9.bin,10.7629,93.5532,275.28,1011.5,0.718537,0.531995,4.47093,1391.1,1396.83
image_048_label_3.bin,10.6578,94.3948,274.66,1010.91,0.78321,0.564428,4.50239,1390.62,1396.48
image_040_label_1.bin,10.9758,92.9978,273.837,1018.32,0.734567,0.541143,4.51727,1396.13,1401.93
image_022_label_1.bin,10.4866,94.1888,272.916,1009.9,0.728849,0.534945,4.46739,1387.49,1393.23
image_054_label_9.bin,10.6178,94.1768,271.38,1008.81,0.711834,0.531639,4.46845,1384.98,1390.7
image_077_label_3.bin,10.7093,94.0083,273.725,1012.38,0.735392,0.533829,4.52153,1390.82,1396.62
image_029_label_7.bin,10.6916,94.5629,274.199,1010.4,0.721502,0.53528,4.49699,1389.86,1395.62
image_062_label_1.bin,10.9432,93.7152,271.858,1010.04,0.715063,0.532327,4.53106,1386.55,1392.34
image_000_label_6.bin,10.6301,93.576,272.96,1011.47,0.785029,0.54324,4.96215,1388.64,1394.93
image_079_label_7.bin,10.6535,93.3484,273.446,1009.84,0.727427,0.540191,4.52904,1387.29,1393.09
image_030_label_1.bin,10.6488,93.9274,274.239,1010.27,0.734316,0.569755,4.49383,1389.09,1394.89
image_082_label_9.bin,10.6448,93.8605,272.068,1011.34,0.723559,0.542998,4.53118,1387.92,1393.72
image_034_label_9.bin,10.6256,94.3967,272.859,1013.37,0.802191,0.533984,4.4727,1391.25,1397.07
image_059_label_0.bin,10.7001,94.5872,273.428,1010.94,0.726688,0.543899,4.47263,1389.65,1395.4
image_086_label_8.bin,10.6259,96.6238,273.38,1010.02,0.752727,0.541115,4.49473,1390.65,1396.45
image_008_label_4.bin,10.6621,93.574,273.744,1010.3,0.716458,0.533488,4.49904,1388.28,1394.04
