image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_038_label_9.bin,303.44,112.954,303.843,1007.46,0.764111,0.683221,4.51084,1727.7,1733.67,142.795,83.9786
image_085_label_1.bin,11.13,90.4739,271.757,998.931,0.737244,0.528764,4.46904,1372.29,1378.04,134.246,97.0338
image_095_label_1.bin,10.8422,90.9402,271.723,1017.89,0.756723,0.529725,4.61228,1391.4,1397.3,136.44,97.02
image_045_label_9.bin,10.9628,91.3261,278.937,1004.96,0.803167,0.546145,4.59753,1386.18,1392.14,136.165,97.064
image_081_label_0.bin,10.7545,90.669,268.89,1012.16,0.736005,0.548098,4.47192,1382.48,1388.24,135.712,97.4797
image_069_label_4.bin,10.8149,90.7812,272.463,1003.2,0.713133,0.534194,4.50332,1377.26,1383.03,135.65,97.5435
image_004_label_3.bin,10.7936,92.051,271.616,999.221,0.741298,0.520032,4.82499,1373.68,1379.78,135.454,97.6021
image_037_label_7.bin,10.8463,91.5377,272.211,999.727,0.734089,0.542121,4.55464,1374.32,1380.16,135.66,97.6643
image_075_label_7.bin,10.813,90.9798,273.881,1001.76,0.744657,0.528639,4.51203,1377.43,1383.23,135.57,97.5805
image_018_label_0.bin,10.6656,90.5755,272.713,1002.61,0.736754,0.527699,4.51105,1376.57,1382.35,136.499,98.0579
image_089_label_5.bin,10.8561,90.411,273.36,995.212,0.724937,0.525455,4.5396,1369.84,1375.64,135.004,97.406
image_061_label_1.bin,10.8525,91.6828,270.75,997.609,0.762672,0.525226,4.4718,1370.89,1376.66,133.827,96.8014
image_092_label_3.bin,11.2962,92.7565,276.209,997.975,0.780341,0.541577,4.50101,1378.24,1384.07,134.268,96.7347
image_071_label_1.bin,10.8548,91.578,271.756,995.148,0.728236,0.526156,4.54968,1369.34,1375.16,134.299,96.9755
image_017_label_9.bin,10.8211,91.605,272.883,998.058,0.746228,0.528443,4.51405,1373.37,1379.16,134.255,96.9448
image_020_label_5.bin,10.7766,90.8108,272.89,998.332,0.746528,0.527806,4.57521,1372.81,1378.67,133.884,96.9211
image_099_label_5.bin,10.779,90.8914,274.041,997.969,0.720689,0.52429,4.51292,1373.68,1379.45,134.051,97.123
image_009_label_4.bin,10.7517,92.2745,273.303,998.367,0.729434,0.563928,4.46895,1374.7,1380.47,134.604,97.3595
image_043_label_6.bin,10.8733,91.1315,272.884,998.105,0.724687,0.527229,4.56331,1372.99,1378.82,134.613,97.1602
image_070_label_2.bin,11.0513,92.7325,272.282,997.362,0.725598,0.525853,4.54591,1373.43,1379.23,135.222,97.2703
image_057_label_7.bin,10.9255,91.222,272.305,996.924,0.718244,0.522964,4.52003,1371.38,1377.14,134.908,97.3868
image_031_label_6.bin,10.7685,91.5007,273.044,999.16,0.765622,0.529391,4.52335,1374.47,1380.3,136.013,97.7196
image_098_label_8.bin,10.6901,91.348,273.691,999.1,0.748329,0.52708,4.47334,1374.83,1380.58,135.434,97.7335
image_016_label_4.bin,10.9148,90.6741,272.285,999.55,0.721488,0.524018,4.49892,1373.42,1379.18,135.242,97.6636
image_002_label_5.bin,10.8791,91.942,273.44,994.018,0.722796,0.530462,4.51427,1370.28,1376.05,135.356,97.6828
image_073_label_1.bin,10.8683,92.1193,272.869,997.395,0.741251,0.530648,4.54132,1373.25,1379.07,135.599,97.6691
image_080_label_3.bin,10.9303,90.8272,273.801,998.677,0.721442,0.521444,4.55757,1374.24,1380.04,136.084,97.8996
image_068_label_0.bin,10.8862,91.0958,272.347,995.813,0.721475,0.525782,4.47246,1370.14,1375.88,135.284,98.0271
image_036_label_4.bin,10.8288,91.4491,271.989,999.818,0.730116,0.52712,4.52557,1374.09,1379.88,135.926,98.1535
image_094_label_5.bin,10.877,91.5536,272.885,998.307,0.722889,0.526912,4.51131,1373.62,1379.39,136.431,98.1643
image_090_label_4.bin,10.8244,91.6171,272.921,995.565,0.7331,0.524081,4.5001,1370.93,1376.69,135.757,98.1775
image_050_label_5.bin,10.8439,91.1467,272.956,997.458,0.719724,0.524347,4.57106,1372.41,1378.24,136.656,98.3344
image_044_label_4.bin,10.8761,91.6336,272.3,998.852,0.740666,0.526734,4.55422,1373.66,1379.49,136.242,98.2976
image_013_label_0.bin,10.8151,91.4755,270.946,996.961,0.727552,0.522785,4.50003,1370.2,1375.95,135.815,98.656
image_065_label_6.bin,10.7839,91.2315,274.429,998.402,0.74138,0.529293,4.51047,1374.85,1380.63,136.886,98.6209
image_007_label_1.bin,10.783,91.1735,272.386,1000.22,0.756235,0.526788,4.49257,1374.57,1380.35,136.543,98.8276
image_024_label_2.bin,10.7809,91.3804,272.047,997.44,0.721094,0.527273,4.50336,1371.65,1377.41,136.575,98.8161
image_049_label_2.bin,10.8947,92.311,273.218,997.36,0.80854,0.526034,4.55114,1373.78,1379.68,136.394,98.7819
image_003_label_0.bin,10.8222,91.2571,272.143,997.028,0.712358,0.521686,4.50352,1371.25,1376.99,137.076,99.2283
image_041_label_9.bin,10.7789,92.0838,272.741,999.185,0.729083,0.525942,4.51857,1374.79,1380.57,137.337,99.1277
image_091_label_1.bin,10.839,90.9757,274.074,998.411,0.730042,0.525886,4.50148,1374.3,1380.06,137.074,98.9532
image_055_label_8.bin,10.9019,91.5454,271.861,998.148,0.731115,0.527316,4.52766,1372.46,1378.25,137.219,99.0828
image_076_label_5.bin,10.8667,91.5493,273.944,989.877,0.789576,0.5257,4.51227,1366.24,1372.07,136.776,99.4715
image_033_label_7.bin,10.7884,91.5426,274.192,999.044,0.730212,0.529521,4.56578,1375.57,1381.4,140.508,100.91
image_001_label_7.bin,10.8393,91.5124,273.039,995.615,0.777751,0.55155,4.57427,1371.01,1376.92,139.54,100.991
image_032_label_3.bin,10.9646,91.9509,270.193,994.292,0.727064,0.523014,4.4731,1367.4,1373.13,139.623,101.042
image_067_label_8.bin,10.8328,92.135,274.82,1004.26,0.736928,0.525895,4.74292,1382.04,1388.06,140.991,100.751
image_026_label_5.bin,10.7808,90.9556,271.558,998.208,0.725688,0.524927,4.51216,1371.5,1377.27,140.292,101.044
image_063_label_7.bin,10.7573,90.8332,272.177,997.06,0.732793,0.538854,4.79841,1370.83,1376.92,139.912,101.367
image_011_label_0.bin,10.9007,92.4445,276.126,1002.27,0.76154,0.536798,4.50052,1381.74,1387.55,141.222,101.306
image_039_label_5.bin,10.9136,90.8656,271.981,1007.34,0.735366,0.527271,4.66348,1381.1,1387.03,141.895,101.531
image_005_label_1.bin,10.6854,91.9528,273.551,1003.91,0.748778,0.530611,4.56596,1380.1,1385.96,140.986,101.354
image_087_label_0.bin,10.8093,91.4636,274.989,998.119,0.736004,0.516788,4.52253,1375.38,1381.16,141.083,101.52
image_074_label_2.bin,10.7916,90.9174,272.768,999.342,0.729631,0.52674,4.51846,1373.82,1379.6,141.381,101.76
image_093_label_6.bin,10.8151,90.8168,272.249,997.379,0.724555,0.525076,4.52567,1371.26,1377.04,140.467,101.961
image_047_label_1.bin,10.846,91.8544,273.632,998.129,0.721292,0.526732,4.54191,1374.46,1380.26,141.799,101.999
image_025_label_6.bin,10.8782,91.7777,273.766,1000.61,0.719601,0.52205,4.52676,1377.03,1382.81,141.964,101.827
image_053_label_0.bin,10.8886,90.3921,270.587,1002.12,0.727711,0.525691,4.88541,1373.99,1380.14,141.953,102.05
image_012_label_4.bin,10.8208,91.1466,272.373,998.65,0.730594,0.525409,4.54188,1372.99,1378.79,141.701,102.033
image_078_label_5.bin,10.8913,92.4523,273.089,999.438,0.732353,0.524258,4.50358,1375.87,1381.64,141.42,102.081
image_084_label_0.bin,10.7798,90.9524,275.215,1000.88,0.735934,0.525366,4.53372,1377.82,1383.63,141.973,102.095
