image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,18.2353,113.431,0.532673,0.50109,1.21266,1.03309,4.74112,132.7,139.694
image_085_label_1.bin,11.9248,104.153,0.449634,0.431774,1.12601,0.908173,4.54189,116.96,123.541
image_095_label_1.bin,10.8395,93.1568,0.450988,0.427792,1.20054,0.909258,4.51355,104.875,111.505
image_045_label_9.bin,10.9639,93.1442,0.455619,0.431929,1.19411,0.913475,4.51627,104.996,111.626
image_081_label_0.bin,10.9174,92.5272,0.454928,0.4296,1.14688,0.917928,4.5474,104.329,110.947
image_069_label_4.bin,10.7628,95.7986,0.448339,0.427379,1.16431,0.902054,4.47429,107.437,113.984
image_004_label_3.bin,10.888,92.3399,0.44969,0.430469,1.1569,0.904506,4.51671,104.108,110.693
image_037_label_7.bin,10.8306,96.5323,0.451249,0.426607,1.15934,0.892004,4.55617,108.241,114.854
image_075_label_7.bin,10.8362,96.4468,0.453083,0.427115,1.1558,0.903995,4.48804,108.163,114.717
image_018_label_0.bin,10.9582,94.4477,0.448039,0.426998,1.15166,0.921382,4.66968,106.281,113.029
image_089_label_5.bin,11.2434,94.1984,0.457799,0.43241,1.16101,0.943929,4.51359,106.332,112.956
image_061_label_1.bin,10.7779,92.5822,0.448648,0.428411,1.19939,0.905984,4.51331,104.237,110.862
image_092_label_3.bin,10.7817,93.4347,0.460902,0.429544,1.1864,0.911234,4.51542,105.107,111.726
image_071_label_1.bin,10.7695,92.7198,0.451397,0.430729,1.16495,0.904336,4.54791,104.371,110.995
image_017_label_9.bin,10.8465,96.5182,0.455886,0.428506,1.15216,0.902762,4.72476,108.249,115.035
image_020_label_5.bin,10.9914,96.4492,0.458662,0.433549,1.32639,0.924893,4.62532,108.333,115.217
image_099_label_5.bin,10.7618,92.9105,0.44753,0.428147,1.15902,0.901561,4.52971,104.548,111.144
image_009_label_4.bin,11.1153,93.9358,0.453121,0.430396,1.1734,0.899497,4.51348,105.935,112.527
image_043_label_6.bin,10.7897,94.2291,0.454739,0.425901,1.15823,0.931397,4.47304,105.899,112.468
