image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_038_label_9.bin,18.6066,113.039,0.529248,0.504104,1.22204,1.03695,4.74542,132.679,139.692,10.9393,73.3172
image_085_label_1.bin,12.1199,105.203,0.469465,2.36524,1.20916,0.969271,4.60709,120.158,126.95,10.3943,77.5777
image_095_label_1.bin,10.8105,96.5976,0.452523,0.487712,2.58194,0.950394,4.61953,108.348,116.508,10.5806,87.0006
image_045_label_9.bin,10.8991,93.1845,0.455346,0.435342,2.56023,0.916002,4.51625,104.974,112.975,11.1182,93.875
image_081_label_0.bin,10.8095,92.7534,0.45678,0.435594,2.91374,0.912039,4.51495,104.455,112.803,12.2582,103.586
image_069_label_4.bin,10.9659,92.181,0.455281,0.434404,3.26507,0.974619,4.52003,104.037,112.804,12.1797,102.672
image_004_label_3.bin,10.8441,92.5666,0.453372,0.433147,3.20882,0.923429,4.4994,104.297,112.936,12.1895,102.783
image_037_label_7.bin,10.8795,93.6481,0.453715,0.433164,2.21633,0.905149,4.51389,105.415,113.057,12.2328,102.854
image_075_label_7.bin,10.7561,93.0941,0.457948,0.431926,2.75551,0.913696,4.54539,104.74,112.962,12.2576,103.439
image_018_label_0.bin,10.8194,92.9248,0.456264,0.433241,2.95234,0.919216,4.54666,104.634,113.059,12.3065,103.865
image_089_label_5.bin,11.2394,91.9693,0.464223,0.436691,3.24635,0.927612,4.51589,104.11,112.821,12.1842,102.565
image_061_label_1.bin,10.7801,92.2895,0.470377,0.429942,3.34162,0.940591,4.50572,103.97,112.765,12.2239,102.719
image_092_label_3.bin,10.9769,94.2922,0.453718,0.43282,2.2651,0.908512,4.5149,106.156,113.851,12.2246,102.796
image_071_label_1.bin,10.8208,91.8992,0.461299,0.435389,3.58128,0.965874,4.51886,103.617,112.689,12.1908,103.014
image_017_label_9.bin,10.7575,92.3835,0.455265,0.434107,3.42823,0.928415,4.51451,104.03,112.908,12.2994,103.569
image_020_label_5.bin,10.7933,92.7748,0.45309,0.433723,2.96802,0.922221,4.64569,104.455,112.997,12.2097,102.808
image_099_label_5.bin,10.8314,95.2955,0.459457,0.436263,2.2005,0.927892,4.55159,107.023,114.726,12.1735,102.695
image_009_label_4.bin,10.7551,92.1529,0.456932,0.434281,3.86279,0.9534,4.55256,103.799,113.176,12.2416,103.014
image_043_label_6.bin,10.8436,93.8909,0.451166,0.431916,2.36838,0.915803,4.5521,105.617,113.461,12.2475,103.258
image_070_label_2.bin,10.8318,92.83,0.457664,0.433809,2.7864,0.919238,4.51601,104.553,112.782,12.3064,103.757
image_057_label_7.bin,10.8912,97.3983,0.453445,0.462638,2.43383,1.00704,5.06479,109.206,117.719,12.175,102.845
image_031_label_6.bin,11.0539,93.204,0.461876,0.440414,3.42577,0.951072,4.65951,105.16,114.22,12.2489,102.78
image_098_label_8.bin,10.8698,92.0061,2.13421,0.442155,2.30833,0.944153,4.51739,105.452,113.23,12.3794,102.909
image_016_label_4.bin,10.8447,92.4867,0.468527,0.438405,4.19401,0.978051,4.75908,104.238,114.177,12.3872,103.171
image_002_label_5.bin,10.9738,92.8526,0.464174,0.438234,4.03427,0.942024,4.56566,104.729,114.279,12.48,103.788
image_073_label_1.bin,10.8429,92.6014,0.462101,0.437661,4.09611,1.01433,4.6057,104.344,114.068,12.3435,102.748
image_080_label_3.bin,10.8736,93.4887,0.461323,0.434636,3.32362,0.940041,4.60479,105.258,114.134,12.3774,102.93
image_068_label_0.bin,10.9863,94.1145,0.493255,0.436966,2.94746,0.997298,4.87382,106.031,114.857,12.4033,102.989
image_036_label_4.bin,10.734,91.4284,0.459204,0.443246,4.03521,0.94063,4.51866,103.065,112.566,12.4338,103.533
image_094_label_5.bin,10.793,92.9982,0.459845,0.434388,3.78003,0.979975,4.51616,104.685,113.968,12.5304,104.276
image_090_label_4.bin,10.879,92.3015,0.457026,0.434551,4.01512,0.919465,4.51652,104.072,113.53,12.3584,102.898
image_050_label_5.bin,10.8321,93.6844,0.457012,0.433757,3.13992,0.921459,4.51753,105.407,113.993,12.3954,103.095
image_044_label_4.bin,10.9244,92.8863,0.449281,0.430767,3.74207,0.911218,4.50761,104.691,113.858,12.4286,103.231
image_013_label_0.bin,10.8976,92.6597,0.452591,0.432041,3.87355,0.907811,4.47723,104.442,113.706,12.4199,103.505
image_065_label_6.bin,11.0886,93.2166,0.460974,0.430622,3.26767,0.90961,4.47717,105.197,113.857,12.5177,104.13
image_007_label_1.bin,10.9312,93.6544,0.451422,0.431232,3.09885,0.899429,4.50397,105.468,113.977,12.3994,103.21
image_024_label_2.bin,10.8566,94.5168,0.457231,0.436241,2.29693,0.930387,4.52587,106.267,114.026,12.3936,103.14
image_049_label_2.bin,10.7462,91.9159,2.15011,0.437915,2.32969,0.922638,4.5142,105.25,113.023,12.4227,103.33
image_003_label_0.bin,10.8655,92.2772,0.454163,0.433607,4.17948,1.01224,4.51544,104.03,113.744,12.4127,103.469
