image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_038_label_9.bin,1.00869,1.60515,0.522094,0.40751,0.964739,0.850756,4.54522,3.54344,9.90932
image_085_label_1.bin,0.718931,1.59947,0.56772,0.407021,0.93355,0.769428,4.6015,3.29314,9.60197
image_095_label_1.bin,0.727652,1.60214,0.521383,0.405765,0.940784,0.728909,4.61311,3.25694,9.54414
image_045_label_9.bin,0.767479,1.59551,0.52105,0.406663,0.939701,0.727733,4.59632,3.2907,9.55879
image_081_label_0.bin,0.727881,1.62692,0.523765,0.407131,0.946708,0.730592,4.63316,3.28569,9.60053
image_069_label_4.bin,0.728703,1.60012,0.520899,0.406437,0.941338,0.736508,4.63111,3.25616,9.56953
image_004_label_3.bin,0.710376,1.60119,0.525895,0.406972,0.943342,0.735168,4.62953,3.24443,9.55676
image_037_label_7.bin,0.708898,1.59788,0.520625,0.406164,0.942758,0.726297,4.62845,3.23357,9.53539
image_075_label_7.bin,0.706568,1.5968,0.536586,0.405633,0.964341,0.72534,4.62707,3.24559,9.56671
image_018_label_0.bin,0.717628,1.59611,0.521989,0.404614,0.933332,0.728877,4.56924,3.24034,9.47606
image_089_label_5.bin,0.703655,1.5887,0.51854,0.404921,0.978652,0.78794,4.67008,3.21582,9.66959
image_061_label_1.bin,0.820276,1.58802,0.524161,0.40922,0.943733,0.796809,4.62258,3.34168,9.70916
image_092_label_3.bin,0.710653,1.59185,0.517358,0.404709,0.950867,0.734776,4.63088,3.22457,9.54539
image_071_label_1.bin,0.705858,1.58713,0.520114,0.40467,0.946085,0.740596,4.62997,3.21777,9.53864
image_017_label_9.bin,0.711339,1.58836,0.522576,0.40501,0.941677,0.726968,4.7542,3.22729,9.65452
image_020_label_5.bin,0.708939,1.58867,0.541502,0.406074,0.934475,0.725766,4.63087,3.24518,9.54092
image_099_label_5.bin,0.746259,1.5915,0.520803,0.403555,0.942904,0.728379,4.59946,3.26212,9.53734
image_009_label_4.bin,0.705378,1.59232,0.51956,0.421755,0.970075,0.800094,4.62628,3.23901,9.63973
image_043_label_6.bin,0.775194,1.59768,0.522962,0.404811,0.94605,0.730266,4.65513,3.30065,9.63705
image_070_label_2.bin,0.712499,1.59624,0.562359,0.405676,0.983387,0.97009,4.58776,3.27677,9.82237
image_057_label_7.bin,0.709792,1.58714,0.530722,0.405624,0.990374,0.746465,4.56831,3.23328,9.54277
image_031_label_6.bin,0.706891,1.61032,0.524154,0.405991,0.977542,0.767152,4.74031,3.24735,9.73667
image_098_label_8.bin,0.724646,1.5845,0.51333,0.40513,0.948818,0.723686,4.62762,3.2276,9.53206
image_016_label_4.bin,0.71477,1.58969,0.516578,0.403221,0.941812,0.723915,4.65513,3.22426,9.54942
image_002_label_5.bin,0.738838,1.58906,0.522278,0.405021,0.937744,0.727062,4.56902,3.25519,9.49325
image_073_label_1.bin,0.703958,1.59612,0.518481,0.405645,0.933839,0.723046,4.62905,3.2242,9.51445
image_080_label_3.bin,0.710542,1.58715,0.529119,0.403641,0.935331,0.77535,4.71751,3.23046,9.66298
image_068_label_0.bin,0.712174,1.58876,0.51953,0.404677,0.948267,0.759749,4.59896,3.22514,9.53632
image_036_label_4.bin,0.717265,1.58819,0.523581,0.404515,0.934585,0.726877,4.65597,3.23355,9.55527
image_094_label_5.bin,0.717088,1.5849,0.534006,0.405577,0.948291,0.725287,4.56707,3.24157,9.48665
image_090_label_4.bin,0.704184,1.58953,0.516304,0.403932,0.938206,0.728001,4.56897,3.21395,9.45326
image_050_label_5.bin,0.703745,1.58478,0.515725,0.403759,0.941053,0.724776,4.63188,3.20801,9.50987
image_044_label_4.bin,0.710714,1.58407,0.520327,0.412947,1.00131,0.741228,4.59471,3.22805,9.58304
image_013_label_0.bin,0.70998,1.61864,0.523351,0.403992,0.945037,0.72829,4.61447,3.25596,9.54789
image_065_label_6.bin,0.717477,1.58955,0.523199,0.40486,0.935717,0.719505,4.56762,3.23509,9.46225
image_007_label_1.bin,0.703199,1.58483,0.521143,0.404783,0.93121,0.721543,4.5669,3.21396,9.43788
image_024_label_2.bin,0.703878,1.58929,0.518992,0.405624,0.98518,0.720819,4.62642,3.21779,9.5544
image_049_label_2.bin,0.702844,1.59014,0.541954,0.405416,0.921908,0.722907,4.56379,3.24035,9.45314
image_003_label_0.bin,0.700872,1.58657,0.528909,0.404572,0.931415,0.721096,4.65845,3.22093,9.53602
image_041_label_9.bin,0.70326,1.59104,0.520316,0.405234,0.942974,0.720959,4.62526,3.21985,9.51314
image_091_label_1.bin,0.713756,1.5841,0.519713,0.404558,0.932887,0.719609,4.64278,3.22213,9.52163
image_055_label_8.bin,0.739541,1.58803,0.519968,0.405488,0.941414,0.720419,4.62616,3.25303,9.54525
image_076_label_5.bin,0.700008,1.58543,0.526222,0.404476,0.927121,0.726495,4.59459,3.21614,9.46846
image_033_label_7.bin,0.702063,1.59502,0.532703,0.404844,0.98798,0.762948,4.65645,3.23463,9.64624
image_001_label_7.bin,0.70334,1.58461,0.520856,0.405472,0.943432,0.762117,4.61755,3.21428,9.54162
image_032_label_3.bin,0.703641,1.58584,0.5163,0.405604,0.936875,0.722129,4.65387,3.21138,9.52847
image_067_label_8.bin,0.725236,1.58493,0.518631,0.405143,0.943644,0.728961,4.62661,3.23394,9.53842
image_026_label_5.bin,0.735375,1.59113,0.521431,0.405267,0.937519,0.732165,4.56811,3.2532,9.49535
image_063_label_7.bin,0.700615,1.58516,0.520981,0.404311,0.944502,0.723733,4.60282,3.21106,9.4863
image_011_label_0.bin,0.704937,1.63336,0.521227,0.40396,0.971932,0.725021,4.67278,3.26348,9.63759
image_039_label_5.bin,0.710989,1.58817,0.516237,0.405599,0.939479,0.756686,4.6291,3.221,9.55042
