image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms,energy_J,avg_power_W
image_038_label_9.bin,1.06594,1.59924,0.523346,0.404433,0.951459,0.851339,4.5737,3.59296,9.97547,0.64815,50.582
image_085_label_1.bin,0.810867,1.59174,0.526617,0.407591,0.928756,0.750932,4.73108,3.33682,9.75217,0.870348,71.151
image_095_label_1.bin,0.862833,1.59423,0.531265,0.404926,0.923816,0.716188,4.6872,3.39326,9.72495,0.879468,71.151
image_045_label_9.bin,0.845809,1.59395,0.532533,0.417901,1.03144,0.730851,4.84593,3.39019,10.0031,1.06536,71.151
image_081_label_0.bin,0.741536,1.59057,0.526601,0.403646,0.971297,0.71677,4.87993,3.26235,9.83479,0.877103,71.151
image_069_label_4.bin,0.841362,1.61319,0.524324,0.405743,0.921487,0.765322,4.81048,3.38462,9.88656,0.890115,71.151
image_004_label_3.bin,0.732534,1.59739,0.67734,0.41698,1.107,0.755092,4.66425,3.42424,9.95532,0.862112,71.151
image_037_label_7.bin,0.81852,1.5865,0.529761,0.404689,0.924466,0.720371,4.62562,3.33947,9.61448,0.876714,71.151
image_075_label_7.bin,0.813904,1.60976,0.523552,0.40412,0.973271,0.800307,4.64517,3.35133,9.78981,0.856779,71.151
image_018_label_0.bin,0.724486,1.62111,0.529515,0.404065,0.924997,0.727517,4.65572,3.27917,9.59185,1.01655,75.427
image_089_label_5.bin,0.723996,1.59085,0.522621,0.405485,0.933122,0.720486,4.73051,3.24296,9.63176,0.925391,75.427
image_061_label_1.bin,0.831946,1.58802,0.526609,0.404278,0.978741,0.72434,4.63028,3.35086,9.68892,0.941701,75.427
image_092_label_3.bin,0.829054,1.58682,0.527895,0.403543,0.931856,0.721717,4.63144,3.34732,9.63689,0.92403,75.427
image_071_label_1.bin,0.834399,1.5851,0.528926,0.404269,0.933958,0.722026,4.75886,3.3527,9.77239,0.905697,75.427
image_017_label_9.bin,0.740722,1.58799,0.526963,0.404379,0.933519,0.729838,4.55545,3.26005,9.48339,0.912775,75.427
image_020_label_5.bin,0.732481,1.58799,0.526802,0.403882,0.93177,0.76124,4.59005,3.25116,9.53899,0.936372,75.427
image_099_label_5.bin,0.768984,1.58606,0.529576,0.40728,0.930941,0.728879,4.55282,3.2919,9.50919,0.925009,75.427
image_009_label_4.bin,0.81445,1.58569,0.566517,0.405649,0.931435,0.725591,4.54815,3.3723,9.58221,0.941506,75.036
image_043_label_6.bin,0.808262,1.59322,0.52458,0.410283,0.972978,0.734736,4.51782,3.33634,9.56673,0.916622,75.036
image_070_label_2.bin,0.809375,1.59493,0.531238,0.404081,0.934674,0.729207,4.59843,3.33962,9.60683,0.914776,75.036
image_057_label_7.bin,0.737808,1.59659,0.520886,0.406441,0.938686,0.729438,4.55473,3.26173,9.48921,0.918076,75.036
image_031_label_6.bin,0.810794,1.61532,0.531991,0.405515,0.97535,0.736505,4.62973,3.36362,9.71016,0.926548,75.036
image_098_label_8.bin,0.730722,1.58919,0.523892,0.403382,0.9361,0.762854,4.58682,3.24719,9.53761,0.910651,75.036
image_016_label_4.bin,0.733211,1.58754,0.535561,0.404592,0.973957,0.728743,4.54908,3.2609,9.51747,0.933396,75.036
image_002_label_5.bin,0.732948,1.58643,0.540417,0.404961,0.940334,0.764412,4.5467,3.26476,9.521,0.910061,75.036
image_073_label_1.bin,0.733192,1.5924,0.530302,0.405763,0.932823,0.726814,4.51712,3.26166,9.44323,0.93281,74.923
image_080_label_3.bin,0.732299,1.58786,0.529924,0.405764,0.97127,0.731745,4.55227,3.25585,9.51585,0.920649,74.923
image_068_label_0.bin,0.918086,1.5877,0.532581,0.405229,0.933329,0.728336,4.69233,3.44359,9.80261,0.936207,74.923
image_036_label_4.bin,0.808069,1.59911,0.533717,0.403719,0.978497,0.748659,4.55469,3.34461,9.63136,0.902589,74.923
image_094_label_5.bin,0.808727,1.63826,0.532064,0.405182,0.930905,0.730012,4.56256,3.38424,9.61253,0.92891,74.923
image_090_label_4.bin,0.732915,1.59773,0.530204,0.405145,0.976105,0.733465,4.58978,3.266,9.57013,0.911712,74.923
image_050_label_5.bin,0.767843,1.58974,0.530321,0.406415,0.937035,0.72636,4.5923,3.29432,9.5547,0.919976,74.923
image_044_label_4.bin,0.822075,1.58746,0.530859,0.405038,0.936281,0.724719,4.54984,3.34543,9.56206,0.917147,74.923
image_013_label_0.bin,0.805593,1.59086,0.532642,0.405543,0.961077,0.746414,4.55182,3.33464,9.59868,0.939811,75.105
image_065_label_6.bin,0.806579,1.58934,0.527775,0.405431,0.930888,0.72872,4.55252,3.32912,9.5459,0.92207,75.105
