image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_032_label_3.bin,42.7436,223.111,90.1952,91.2654,0.067022,0.199776,4.54142,447.315,452.13
image_069_label_4.bin,41.9946,219.278,90.5775,89.7465,0.064046,0.097357,4.54229,441.596,446.306
image_099_label_5.bin,41.9971,236.37,94.6902,92.6305,0.070698,0.102145,4.50479,465.688,470.373
image_019_label_6.bin,41.6338,222.984,90.7766,94.0488,0.07283,0.096632,4.52357,449.443,454.144
image_061_label_1.bin,42.1189,222.691,90.879,90.1644,0.060798,0.099527,4.66682,445.853,450.686
image_047_label_1.bin,41.7854,218.757,92.8353,90.5283,0.058978,0.095577,4.51068,443.906,448.576
image_059_label_0.bin,42.1824,220.885,90.0905,89.9794,0.062313,0.098712,4.65142,443.137,447.955
image_017_label_9.bin,42.1478,220.436,90.0782,91.663,0.068843,0.101975,4.55875,444.325,449.059
image_034_label_9.bin,41.8875,220.728,90.7487,90.9325,0.061868,0.099757,4.71981,444.297,449.184
image_011_label_0.bin,42.0512,221.073,90.323,89.8285,0.062142,0.098796,4.51206,443.276,447.954
image_060_label_0.bin,42.0109,220.368,90.4369,91.0534,0.066652,0.099462,4.72885,443.869,448.769
image_051_label_4.bin,41.9646,219.757,90.927,90.0796,0.066715,0.100676,4.54136,442.728,447.442
image_046_label_1.bin,41.7526,219.763,90.229,89.9227,0.059573,0.097541,4.58181,441.667,446.411
image_015_label_5.bin,41.7637,221.005,90.3413,89.7115,0.089895,0.099475,4.51133,442.822,447.528
image_082_label_9.bin,41.6012,218.801,90.2433,90.3218,0.063596,0.097577,4.65329,440.967,445.787
image_071_label_1.bin,41.7444,221.8,90.7067,90.3574,0.06779,0.116239,4.5127,444.608,449.309
image_097_label_5.bin,41.5804,219.256,91.3728,90.7506,0.060152,0.100261,4.55951,442.96,447.686
image_045_label_9.bin,42.3638,221.061,91.5839,90.2556,0.066011,0.101987,4.54004,445.264,449.977
image_062_label_1.bin,41.8538,218.942,89.9439,89.9265,0.060156,0.095831,4.62303,440.666,445.45
image_049_label_2.bin,42.4751,220.612,90.2514,90.9576,0.071535,0.101384,4.54375,444.296,449.019
