image_name,conv1_ms,conv2_ms,conv3_ms,conv4_ms,relu_ms,pool_ms,fc_ms,total_conv_ms,total_infer_ms
image_032_label_3.bin,46.7635,243.327,95.754,100.519,0.087136,0.259725,4.64517,486.363,491.362
image_069_label_4.bin,45.248,237.874,98.9948,96.6886,0.065328,0.098791,4.87351,478.805,483.849
image_099_label_5.bin,46.2637,250.633,96.8983,98.8756,0.091162,0.118293,4.57339,492.671,497.46
image_019_label_6.bin,44.6993,237.323,91.3681,92.6099,0.065611,0.096381,4.54258,466,470.711
image_061_label_1.bin,43.5112,223.109,89.8958,90.7238,0.077185,0.097521,4.79474,447.24,452.215
image_047_label_1.bin,41.7701,221.936,90.3292,90.844,0.062156,0.09722,4.54657,444.88,449.591
image_059_label_0.bin,41.9652,220.897,90.1653,89.9994,0.068908,0.097261,4.62037,443.026,447.819
image_017_label_9.bin,41.7912,221.111,91.1832,90.4753,0.063082,0.097551,4.60234,444.56,449.328
image_034_label_9.bin,41.9011,220.464,90.34,90.969,0.065607,0.097248,4.6952,443.675,448.538
image_011_label_0.bin,42.0359,219.713,91.3833,90.0988,0.06431,0.098226,4.54209,443.231,447.941
image_060_label_0.bin,41.9919,220.537,90.4664,90.7246,0.071168,0.10086,4.79103,443.72,448.688
image_051_label_4.bin,41.9875,221.807,92.3456,92.6621,0.064066,0.100744,4.58359,448.803,453.557
image_046_label_1.bin,42.4608,223,90.9371,89.9867,0.072258,0.104374,4.51366,446.384,451.079
image_015_label_5.bin,41.6009,220.985,90.7383,91.8653,0.063105,0.099185,4.55065,445.19,449.908
image_082_label_9.bin,42.229,220.24,90.9369,90.3619,0.066637,0.101488,4.51113,443.768,448.453
image_071_label_1.bin,41.5636,219.751,90.3375,90.2422,0.07796,0.114373,4.70491,441.894,446.797
image_097_label_5.bin,42.7065,221.426,89.856,91.0372,0.06797,0.103115,4.54873,445.026,449.751
image_045_label_9.bin,41.7519,219.343,90.5079,89.7301,0.060692,0.100363,4.56607,441.333,446.065
image_062_label_1.bin,41.8201,220.116,91.2468,91.2535,0.06455,0.098898,4.56924,444.437,449.175
image_049_label_2.bin,41.6325,221.919,90.6629,91.0076,0.062409,0.098099,4.51554,445.222,449.904
image_009_label_4.bin,42.13,220.069,90.1504,90.8768,0.065164,0.100981,4.6548,443.226,448.052
image_018_label_0.bin,41.9261,219.968,89.9861,89.9075,0.063603,0.101659,4.51143,441.788,446.47
image_053_label_0.bin,41.6457,219.792,92.2686,91.4645,0.06325,0.100374,4.5241,445.171,449.864
image_087_label_0.bin,42.3366,219.156,90.7149,90.3391,0.068112,0.100073,4.56557,442.547,447.285
image_098_label_8.bin,41.813,219.688,89.8942,91.3848,0.060215,0.097386,4.56923,442.781,447.512
image_068_label_0.bin,42.1135,222.951,90.4212,90.8283,0.060613,0.099726,4.53669,446.314,451.017
image_000_label_6.bin,41.8119,219.29,90.5478,90.1848,0.062294,0.100746,4.5096,441.834,446.512
image_050_label_5.bin,41.8013,220.516,90.3992,90.0701,0.064886,0.09722,4.54026,442.787,447.494
image_040_label_1.bin,42.0332,221.265,90.3595,90.9029,0.067261,0.101079,4.51067,444.561,449.245
image_075_label_7.bin,41.6683,220.68,92.7999,91.906,0.064718,0.099136,4.51592,447.055,451.74
image_044_label_4.bin,42.4125,222.65,91.3591,90.1964,0.065053,0.098965,4.61964,446.617,451.406
image_064_label_9.bin,42.1447,221.168,91.0077,91.5716,0.066253,0.098386,4.61083,445.892,450.673
image_003_label_0.bin,41.9925,221.907,90.7913,90.3688,0.06746,0.100734,4.5573,445.059,449.79
image_042_label_0.bin,42.0282,219.477,92.1615,91.6816,0.06378,0.098296,4.54896,445.348,450.064
image_095_label_1.bin,41.9962,222.752,91.886,91.9916,0.064865,0.100665,4.51508,448.625,453.311
image_037_label_7.bin,42.2614,220.993,91.165,91.4197,0.063948,0.099799,4.54766,445.839,450.556
