image_size,kernel_size,padding_mode,dtype,operation_time_ms
256,3,same,float64,29.5266
256,7,same,float64,26.1608
256,21,same,float64,26.1025
256,51,same,float64,26.0633
256,101,same,float64,26.1832
512,5,same,float64,119.576
512,11,same,float64,118.432
512,31,same,float64,119.323
512,101,same,float64,135.854
512,151,same,float64,120.98
1024,11,same,float64,568.212
1024,31,same,float64,591.98
1024,101,same,float64,556.678
1024,201,same,float64,550.603
1024,301,same,float64,593.754
2048,21,same,float64,2803.79
2048,51,same,float64,2762.39
2048,151,same,float64,2795.81
2048,301,same,float64,2765.25
2048,501,same,float64,2834.61
