id,gt,pred,time_ms
0,5,5,2858.7
1,4,4,2256.21
2,9,9,2257.15
3,4,4,2259.18
4,1,1,2259.68
5,0,0,2257.14
6,0,0,2261.2
7,3,9,2255.94
8,4,3,2262.75
9,5,3,2255.07
10,7,7,2259.33
11,0,0,2258.57
12,2,2,2263.96
13,0,0,2261.81
14,1,9,2257.19
15,4,4,2261.27
16,2,2,2259.62
17,8,0,2256.15
18,6,6,2264.48
19,1,1,2258.18
20,5,4,2256.42
21,9,9,2259.8
22,5,1,2266.64
23,7,7,2255.86
24,7,7,2257.38
25,1,1,2255.22
26,5,5,2264.32
27,3,5,2262.49
28,0,9,2258.39
29,5,1,2257.96
30,1,5,2256.51
31,3,3,2264.01
32,2,2,2261.66
33,3,3,2261.33
34,7,1,2267.51
35,0,0,2261.9
36,4,1,2253.79
37,8,8,2259.87
38,1,5,2256.88
39,0,9,2259.99
40,1,5,2261.15
41,1,3,2261.63
42,5,6,2257.64
43,2,2,2254.94
44,8,8,2255.72
45,0,0,2257.63
46,5,5,2271.2
47,8,8,2259.3
48,7,7,2261.48
49,7,7,2266.57
50,5,4,2256.47
51,6,6,2266.9
52,6,5,2259.21
53,7,7,2264.02
54,2,2,2261.94
55,9,9,2257.16
56,1,9,2263.94
57,6,6,2263.24
58,5,5,2257.92
59,1,1,2263.92
60,0,0,2257.93
61,3,3,2265.1
62,2,2,2269.01
63,6,6,2258.94
64,3,7,2259.76
65,1,5,2258.38
66,3,5,2266.08
67,6,6,2261.18
68,0,9,2257.13
69,9,9,2269.59
70,4,1,2263.88
71,1,1,2258.96
72,9,0,2266.06
73,0,6,2258.24
74,2,2,2258.33
75,1,1,2270.82
76,1,1,2260.97
77,5,9,2264.5
78,7,6,2273.59
79,4,4,2262.06
80,0,0,2268.03
81,1,1,2260.34
82,9,9,2269.47
83,5,6,2272.39
84,7,6,2260.1
85,0,0,2260.93
86,1,1,2262.82
87,6,6,2269.96
88,2,6,2260.21
89,7,5,2262.16
90,9,2,2263.13
91,4,4,2265.9
92,3,3,2266.72
93,5,7,2255.2
94,1,0,2263.01
95,9,9,2255.46
96,3,1,2264.87
97,0,0,2260.33
98,6,6,2258.98
99,4,5,2258.66
